freq (Hz),out (A/sqrt(Hz))
1.00000,191.136E-12
1.04713,188.131E-12
1.09648,185.215E-12
1.14815,182.388E-12
1.20226,179.646E-12
1.25893,176.988E-12
1.31826,174.411E-12
1.38038,171.915E-12
1.44544,169.497E-12
1.51356,167.155E-12
1.58489,164.887E-12
1.65959,162.692E-12
1.73780,160.567E-12
1.81970,158.512E-12
1.90546,156.524E-12
1.99526,154.601E-12
2.08930,152.743E-12
2.18776,150.946E-12
2.29087,149.211E-12
2.39883,147.534E-12
2.51189,145.915E-12
2.63027,144.352E-12
2.75423,142.843E-12
2.88403,141.388E-12
3.01995,139.983E-12
3.16228,138.629E-12
3.31131,137.322E-12
3.46737,136.063E-12
3.63078,134.850E-12
3.80189,133.681E-12
3.98107,132.555E-12
4.16869,131.471E-12
4.36516,130.427E-12
4.57088,129.422E-12
4.78630,128.455E-12
5.01187,127.525E-12
5.24807,126.630E-12
5.49541,125.770E-12
5.75440,124.943E-12
6.02560,124.148E-12
6.30957,123.383E-12
6.60693,122.649E-12
6.91831,121.944E-12
7.24436,121.267E-12
7.58578,120.616E-12
7.94328,119.992E-12
8.31764,119.392E-12
8.70964,118.817E-12
9.12011,118.265E-12
9.54993,117.736E-12
10.0000,117.228E-12
10.4713,116.741E-12
10.9648,116.273E-12
11.4815,115.826E-12
12.0226,115.396E-12
12.5893,114.985E-12
13.1826,114.590E-12
13.8038,114.213E-12
14.4544,113.850E-12
15.1356,113.504E-12
15.8489,113.171E-12
16.5959,112.853E-12
17.3780,112.549E-12
18.1970,112.257E-12
19.0546,111.978E-12
19.9526,111.710E-12
20.8930,111.454E-12
21.8776,111.209E-12
22.9087,110.975E-12
23.9883,110.750E-12
25.1189,110.536E-12
26.3027,110.330E-12
27.5423,110.134E-12
28.8403,109.946E-12
30.1995,109.766E-12
31.6228,109.594E-12
33.1131,109.429E-12
34.6737,109.272E-12
36.3078,109.121E-12
38.0189,108.977E-12
39.8107,108.840E-12
41.6869,108.708E-12
43.6516,108.582E-12
45.7088,108.462E-12
47.8630,108.347E-12
50.1187,108.237E-12
52.4807,108.132E-12
54.9541,108.031E-12
57.5440,107.935E-12
60.2560,107.844E-12
63.0957,107.756E-12
66.0693,107.672E-12
69.1831,107.592E-12
72.4436,107.515E-12
75.8578,107.442E-12
79.4328,107.372E-12
83.1764,107.305E-12
87.0964,107.241E-12
91.2011,107.180E-12
95.4993,107.122E-12
100.000,107.066E-12
104.713,107.013E-12
109.648,106.962E-12
114.815,106.914E-12
120.226,106.867E-12
125.893,106.823E-12
131.826,106.780E-12
138.038,106.740E-12
144.544,106.701E-12
151.356,106.664E-12
158.489,106.629E-12
165.959,106.595E-12
173.780,106.563E-12
181.970,106.532E-12
190.546,106.503E-12
199.526,106.475E-12
208.930,106.448E-12
218.776,106.422E-12
229.087,106.398E-12
239.883,106.374E-12
251.189,106.352E-12
263.027,106.331E-12
275.423,106.310E-12
288.403,106.291E-12
301.995,106.272E-12
316.228,106.255E-12
331.131,106.238E-12
346.737,106.221E-12
363.078,106.206E-12
380.189,106.191E-12
398.107,106.177E-12
416.869,106.164E-12
436.516,106.151E-12
457.088,106.138E-12
478.630,106.127E-12
501.187,106.115E-12
524.807,106.105E-12
549.541,106.095E-12
575.440,106.085E-12
602.560,106.075E-12
630.957,106.066E-12
660.693,106.058E-12
691.831,106.050E-12
724.436,106.042E-12
758.578,106.035E-12
794.328,106.028E-12
831.764,106.021E-12
870.964,106.014E-12
912.011,106.008E-12
954.993,106.002E-12
1.00000E3,105.997E-12
1.04713E3,105.991E-12
1.09648E3,105.986E-12
1.14815E3,105.981E-12
1.20226E3,105.977E-12
1.25893E3,105.972E-12
1.31826E3,105.968E-12
1.38038E3,105.964E-12
1.44544E3,105.960E-12
1.51356E3,105.956E-12
1.58489E3,105.953E-12
1.65959E3,105.949E-12
1.73780E3,105.946E-12
1.81970E3,105.943E-12
1.90546E3,105.940E-12
1.99526E3,105.937E-12
2.08930E3,105.934E-12
2.18776E3,105.932E-12
2.29087E3,105.929E-12
2.39883E3,105.927E-12
2.51189E3,105.925E-12
2.63027E3,105.923E-12
2.75423E3,105.920E-12
2.88403E3,105.919E-12
3.01995E3,105.917E-12
3.16228E3,105.915E-12
3.31131E3,105.913E-12
3.46737E3,105.912E-12
3.63078E3,105.910E-12
3.80189E3,105.909E-12
3.98107E3,105.907E-12
4.16869E3,105.906E-12
4.36516E3,105.904E-12
4.57088E3,105.903E-12
4.78630E3,105.902E-12
5.01187E3,105.901E-12
5.24807E3,105.900E-12
5.49541E3,105.899E-12
5.75440E3,105.898E-12
6.02560E3,105.897E-12
6.30957E3,105.896E-12
6.60693E3,105.895E-12
6.91831E3,105.894E-12
7.24436E3,105.893E-12
7.58578E3,105.893E-12
7.94328E3,105.892E-12
8.31764E3,105.891E-12
8.70964E3,105.891E-12
9.12011E3,105.890E-12
9.54993E3,105.889E-12
10.0000E3,105.889E-12
10.4713E3,105.888E-12
10.9648E3,105.887E-12
11.4815E3,105.887E-12
12.0226E3,105.886E-12
12.5893E3,105.886E-12
13.1826E3,105.885E-12
13.8038E3,105.885E-12
14.4544E3,105.884E-12
15.1356E3,105.884E-12
15.8489E3,105.884E-12
16.5959E3,105.883E-12
17.3780E3,105.883E-12
18.1970E3,105.882E-12
19.0546E3,105.882E-12
19.9526E3,105.881E-12
20.8930E3,105.881E-12
21.8776E3,105.880E-12
22.9087E3,105.880E-12
23.9883E3,105.880E-12
25.1189E3,105.879E-12
26.3027E3,105.879E-12
27.5423E3,105.878E-12
28.8403E3,105.878E-12
30.1995E3,105.877E-12
31.6228E3,105.876E-12
33.1131E3,105.876E-12
34.6737E3,105.875E-12
36.3078E3,105.874E-12
38.0189E3,105.874E-12
39.8107E3,105.873E-12
41.6869E3,105.872E-12
43.6516E3,105.871E-12
45.7088E3,105.870E-12
47.8630E3,105.869E-12
50.1187E3,105.868E-12
52.4807E3,105.867E-12
54.9541E3,105.866E-12
57.5440E3,105.864E-12
60.2560E3,105.863E-12
63.0957E3,105.861E-12
66.0693E3,105.859E-12
69.1831E3,105.857E-12
72.4436E3,105.855E-12
75.8578E3,105.853E-12
79.4328E3,105.850E-12
83.1764E3,105.847E-12
87.0964E3,105.844E-12
91.2011E3,105.841E-12
95.4993E3,105.837E-12
100.000E3,105.833E-12
104.713E3,105.829E-12
109.648E3,105.824E-12
114.815E3,105.819E-12
120.226E3,105.813E-12
125.893E3,105.807E-12
131.826E3,105.800E-12
138.038E3,105.792E-12
144.544E3,105.784E-12
151.356E3,105.775E-12
158.489E3,105.765E-12
165.959E3,105.754E-12
173.780E3,105.742E-12
181.970E3,105.729E-12
190.546E3,105.715E-12
199.526E3,105.699E-12
208.930E3,105.682E-12
218.776E3,105.664E-12
229.087E3,105.643E-12
239.883E3,105.621E-12
251.189E3,105.596E-12
263.027E3,105.570E-12
275.423E3,105.540E-12
288.403E3,105.508E-12
301.995E3,105.474E-12
316.228E3,105.435E-12
331.131E3,105.394E-12
346.737E3,105.348E-12
363.078E3,105.299E-12
380.189E3,105.244E-12
398.107E3,105.185E-12
416.869E3,105.121E-12
436.516E3,105.051E-12
457.088E3,104.975E-12
478.630E3,104.892E-12
501.187E3,104.801E-12
524.807E3,104.703E-12
549.541E3,104.597E-12
575.440E3,104.482E-12
602.560E3,104.357E-12
630.957E3,104.222E-12
660.693E3,104.076E-12
691.831E3,103.918E-12
724.436E3,103.748E-12
758.578E3,103.564E-12
794.328E3,103.367E-12
831.764E3,103.156E-12
870.964E3,102.929E-12
912.011E3,102.686E-12
954.993E3,102.426E-12
1.00000E6,102.149E-12
1.04713E6,101.854E-12
1.09648E6,101.541E-12
1.14815E6,101.208E-12
1.20226E6,100.856E-12
1.25893E6,100.483E-12
1.31826E6,100.090E-12
1.38038E6,99.6764E-12
1.44544E6,99.2410E-12
1.51356E6,98.7838E-12
1.58489E6,98.3043E-12
1.65959E6,97.8019E-12
1.73780E6,97.2759E-12
1.81970E6,96.7256E-12
1.90546E6,96.1499E-12
1.99526E6,95.5474E-12
2.08930E6,94.9166E-12
2.18776E6,94.2555E-12
2.29087E6,93.5616E-12
2.39883E6,92.8322E-12
2.51189E6,92.0639E-12
2.63027E6,91.2530E-12
2.75423E6,90.3954E-12
2.88403E6,89.4866E-12
3.01995E6,88.5219E-12
3.16228E6,87.4967E-12
3.31131E6,86.4068E-12
3.46737E6,85.2482E-12
3.63078E6,84.0181E-12
3.80189E6,82.7150E-12
3.98107E6,81.3389E-12
4.16869E6,79.8916E-12
4.36516E6,78.3769E-12
4.57088E6,76.8008E-12
4.78630E6,75.1708E-12
5.01187E6,73.4963E-12
5.24807E6,71.7877E-12
5.49541E6,70.0564E-12
5.75440E6,68.3140E-12
6.02560E6,66.5724E-12
6.30957E6,64.8434E-12
6.60693E6,63.1387E-12
6.91831E6,61.4696E-12
7.24436E6,59.8473E-12
7.58578E6,58.2821E-12
7.94328E6,56.7840E-12
8.31764E6,55.3615E-12
8.70964E6,54.0220E-12
9.12011E6,52.7709E-12
9.54993E6,51.6119E-12
10.0000E6,50.5464E-12
10.4713E6,49.5741E-12
10.9648E6,48.6923E-12
11.4815E6,47.8973E-12
12.0226E6,47.1837E-12
12.5893E6,46.5454E-12
13.1826E6,45.9755E-12
13.8038E6,45.4672E-12
14.4544E6,45.0136E-12
15.1356E6,44.6077E-12
15.8489E6,44.2434E-12
16.5959E6,43.9147E-12
17.3780E6,43.6161E-12
18.1970E6,43.3429E-12
19.0546E6,43.0906E-12
19.9526E6,42.8554E-12
20.8930E6,42.6338E-12
21.8776E6,42.4229E-12
22.9087E6,42.2199E-12
23.9883E6,42.0226E-12
25.1189E6,41.8289E-12
26.3027E6,41.6370E-12
27.5423E6,41.4453E-12
28.8403E6,41.2524E-12
30.1995E6,41.0571E-12
31.6228E6,40.8583E-12
33.1131E6,40.6550E-12
34.6737E6,40.4464E-12
36.3078E6,40.2318E-12
38.0189E6,40.0106E-12
39.8107E6,39.7824E-12
41.6869E6,39.5467E-12
43.6516E6,39.3035E-12
45.7088E6,39.0524E-12
47.8630E6,38.7937E-12
50.1187E6,38.5275E-12
52.4807E6,38.2540E-12
54.9541E6,37.9738E-12
57.5440E6,37.6873E-12
60.2560E6,37.3952E-12
63.0957E6,37.0984E-12
66.0693E6,36.7978E-12
69.1831E6,36.4943E-12
72.4436E6,36.1891E-12
75.8578E6,35.8832E-12
79.4328E6,35.5779E-12
83.1764E6,35.2743E-12
87.0964E6,34.9735E-12
91.2011E6,34.6768E-12
95.4993E6,34.3852E-12
100.000E6,34.0997E-12
104.713E6,33.8212E-12
109.648E6,33.5507E-12
114.815E6,33.2888E-12
120.226E6,33.0362E-12
125.893E6,32.7935E-12
131.826E6,32.5610E-12
138.038E6,32.3390E-12
144.544E6,32.1279E-12
151.356E6,31.9275E-12
158.489E6,31.7381E-12
165.959E6,31.5595E-12
173.780E6,31.3915E-12
181.970E6,31.2341E-12
190.546E6,31.0869E-12
199.526E6,30.9497E-12
208.930E6,30.8223E-12
218.776E6,30.7041E-12
229.087E6,30.5950E-12
239.883E6,30.4946E-12
251.189E6,30.4026E-12
263.027E6,30.3186E-12
275.423E6,30.2424E-12
288.403E6,30.1736E-12
301.995E6,30.1121E-12
316.228E6,30.0576E-12
331.131E6,30.0100E-12
346.737E6,29.9692E-12
363.078E6,29.9352E-12
380.189E6,29.9080E-12
398.107E6,29.8879E-12
416.869E6,29.8751E-12
436.516E6,29.8700E-12
457.088E6,29.8734E-12
478.630E6,29.8862E-12
501.187E6,29.9098E-12
524.807E6,29.9460E-12
549.541E6,29.9976E-12
575.440E6,30.0681E-12
602.560E6,30.1633E-12
630.957E6,30.2912E-12
660.693E6,30.4642E-12
691.831E6,30.7022E-12
724.436E6,31.0371E-12
758.578E6,31.5224E-12
794.328E6,32.2477E-12
831.764E6,33.3504E-12
870.964E6,34.9495E-12
912.011E6,36.6945E-12
954.993E6,37.0134E-12
1.00000E9,35.1467E-12
1.04713E9,32.9650E-12
1.09648E9,31.5179E-12
1.14815E9,30.6895E-12
1.20226E9,30.2220E-12
1.25893E9,29.9527E-12
1.31826E9,29.7941E-12
1.38038E9,29.6990E-12
1.44544E9,29.6409E-12
1.51356E9,29.6042E-12
1.58489E9,29.5791E-12
1.65959E9,29.5592E-12
1.73780E9,29.5396E-12
1.81970E9,29.5169E-12
1.90546E9,29.4882E-12
1.99526E9,29.4509E-12
2.08930E9,29.4026E-12
2.18776E9,29.3411E-12
2.29087E9,29.2640E-12
2.39883E9,29.1695E-12
2.51189E9,29.0556E-12
2.63027E9,28.9213E-12
2.75423E9,28.7662E-12
2.88403E9,28.5908E-12
3.01995E9,28.3970E-12
3.16228E9,28.1878E-12
3.31131E9,27.9672E-12
3.46737E9,27.7402E-12
3.63078E9,27.5118E-12
3.80189E9,27.2873E-12
3.98107E9,27.0714E-12
4.16869E9,26.8686E-12
4.36516E9,26.6826E-12
4.57088E9,26.5165E-12
4.78630E9,26.3731E-12
5.01187E9,26.2551E-12
5.24807E9,26.1651E-12
5.49541E9,26.1056E-12
5.75440E9,26.0787E-12
6.02560E9,26.0855E-12
6.30957E9,26.1246E-12
6.60693E9,26.1909E-12
6.91831E9,26.2736E-12
7.24436E9,26.3570E-12
7.58578E9,26.4230E-12
7.94328E9,26.4563E-12
8.31764E9,26.4491E-12
8.70964E9,26.4032E-12
9.12011E9,26.3283E-12
9.54993E9,26.2380E-12
10.0000E9,26.1474E-12
